Fwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Bwd IAT Total,Bwd IAT Mean,Packet Length Mean,Label
0.000000,0.351202,575.007879,877.885000,1730313,0.865157,206.857143,dns
0.000000,1.183000,0.000000,0.000000,0,0.000000,169.000000,dns
0.000000,0.188000,0.000000,0.000000,0,0.000000,121.000000,dns
0.000000,6.429000,0.000000,0.000000,0,0.000000,196.000000,dns
0.000000,0.000230,0.000000,0.000000,0,0.000000,125.333333,dns
0.000000,55.022000,0.000000,0.000000,0,0.000000,108.666667,dns
0.000000,140.758000,0.000000,0.000000,0,0.000000,138.666667,dns
0.000000,1.683000,0.000000,0.000000,0,0.000000,149.000000,dns
0.000000,0.000260,0.000000,0.000000,0,0.000000,190.000000,dns
0.000000,23.503000,0.000000,0.000000,0,0.000000,181.333333,dns
